MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,target
9.7717,2.3,39.7516,7.8611,26279.6,841.5839,40.9354,-123.4771,2.1963
0.9321,12.2,72.2046,1.2253,7097.3,808.2624,37.6679,-122.1368,3.0079
12.2367,1.3,114.5399,23.8852,12142.8,193.895,41.5474,-120.9706,0.5998
1.9024,44.2,86.065,27.5625,26039.1,667.0285,41.697,-120.5495,2.8274
12.5264,32.5,122.4145,19.8099,25141.4,57.6332,34.6845,-121.4445,0.537
3.8755,6.2,40.1665,21.778,13019.8,460.6917,34.5115,-121.6695,4.6928
9.8965,32.1,25.1134,24.9307,5833.0,472.2165,41.8514,-117.9244,2.8512
10.4269,44.0,110.3384,8.0581,1148.3,392.6846,35.0594,-122.2317,4.7231
13.2073,17.0,93.3513,13.6786,32633.1,570.8777,35.0325,-121.8739,2.8726
4.3098,30.8,127.5032,13.8058,7828.1,1240.2701,37.3346,-123.4373,0.3785
2.0899,33.0,112.604,14.5737,2269.6,474.9054,41.9135,-119.0377,4.8597
12.9813,1.6,102.5497,23.3309,19161.6,332.2577,38.5715,-123.23,2.2586
7.079,49.6,124.4077,9.2167,17863.4,222.69,41.1278,-115.61,1.5975
9.7648,32.1,22.5351,26.0571,19247.5,968.2424,37.5306,-124.3443,1.7222
0.7824,48.4,124.8119,28.3904,10974.8,72.6701,40.8021,-114.8426,0.5654
7.5469,4.5,108.1688,26.1693,4583.9,591.2949,37.7137,-121.6888,4.3813
6.6355,11.8,76.9868,24.9579,7179.9,388.0411,41.9044,-117.8252,2.2748
8.0048,7.2,32.6599,11.737,20993.3,286.6398,34.6122,-123.6372,3.2108
3.8197,47.2,122.1226,2.7207,8494.8,831.9885,34.556,-123.0216,4.6872
8.7801,25.1,111.5529,27.5749,6796.6,121.1401,36.5962,-120.0973,2.4151
11.0716,35.3,139.6689,3.6506,14368.1,422.321,40.6483,-121.8535,1.0725
7.0049,22.5,40.247,8.7585,32944.2,551.342,40.6453,-118.8247,0.3954
14.9896,43.6,137.5316,31.5856,30283.6,207.3548,37.1099,-122.204,2.095
1.3502,20.3,139.83,9.278,27977.9,566.1016,36.5205,-114.7385,4.9778
8.5586,37.6,22.8109,10.3409,34565.6,720.4026,37.6421,-116.8403,0.4273
8.9706,26.6,121.1482,5.6418,34282.6,100.2397,34.2886,-118.3758,3.4248
3.9105,7.1,126.4415,8.6373,21214.8,770.3582,36.4849,-118.4899,2.6855
14.0532,11.4,101.9114,8.3833,14124.2,835.3591,35.363,-121.1756,3.7965
1.5519,24.4,141.6822,33.9383,2616.9,265.5641,35.0355,-114.9801,4.4222
13.2494,19.8,23.2265,28.4606,25104.6,760.7853,41.8299,-117.7841,0.1879
12.348,16.3,94.4715,32.0095,4794.4,144.1263,33.5472,-118.7956,1.4709
9.27,37.6,29.6869,21.7292,9421.7,607.7592,41.0592,-115.8551,0.5976
6.6418,15.1,1.4996,26.3476,22734.6,326.2061,39.515,-118.8111,2.2243
0.6402,4.8,125.4297,30.8286,19469.1,1037.7912,38.0214,-122.8631,0.7681
4.9697,46.8,113.1736,29.3701,32075.7,261.7395,34.8881,-123.318,3.9336
13.32,21.7,88.4512,5.5446,33180.2,1075.0836,41.7261,-116.2099,4.4249
0.8594,38.6,47.8049,31.7357,28625.9,1074.4105,40.1692,-121.6713,3.9688
2.0674,45.5,121.9758,7.8349,29138.0,572.6812,35.4118,-116.3647,1.2538
0.8431,10.8,47.2521,29.4933,34500.6,347.5419,38.5763,-120.3372,4.9086
8.2751,48.9,17.2517,33.0713,6374.1,1196.7736,35.038,-123.2616,2.2576
11.0639,17.0,86.4148,17.5854,13746.4,717.1814,34.9369,-117.2338,0.1582
13.9208,28.5,102.3677,25.3634,23930.4,453.2862,33.1985,-117.6811,1.7515
5.0518,44.2,102.4134,10.4629,11038.0,508.1754,36.3266,-121.3816,0.7673
6.5965,49.0,96.4341,30.7907,21964.0,374.6624,37.6961,-124.3459,1.5415
6.7334,30.6,93.248,16.0187,15778.8,266.2439,36.9927,-115.3021,4.0107
2.9605,5.3,73.6272,21.6854,11962.2,1017.6957,39.6082,-117.5951,1.2395
3.3874,2.2,35.4983,16.3611,30320.8,91.1893,36.4399,-118.0272,1.093
10.5971,26.2,35.3774,22.4654,200.8,933.8685,39.7861,-123.2799,2.212
3.0504,49.9,73.9802,2.0244,8894.1,1054.8667,36.8353,-116.3038,3.3878
14.8244,31.4,134.8606,30.4067,21861.8,894.4886,37.29,-116.0111,2.8072
13.5095,38.9,67.8816,9.0751,8824.3,793.0736,39.7463,-119.1161,3.1897
4.4817,5.0,41.2591,9.4977,11409.9,671.9048,33.8421,-122.0281,3.5157
10.7431,4.3,58.4308,18.6377,14837.4,257.7107,36.4936,-115.2654,2.9828
